niche,feature,category2,category_label,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor,overall_mean_importance_share,overall_selection_frequency,overall_top5_frequency,importance_difference_from_all_zones,importance_ratio_to_all_zones,selection_frequency_difference,top5_frequency_difference
climate,EXT,alpine_vegetation,alpine vegetation,Temperature,Annual,3,0.0480879649739446,0.0504549510067179,0.0436475166330274,2,1,1,0.029130179545678,0.666666666666667,0.333333333333333,0.333333333333333,6,within-category pattern,TRUE,0.0310029586521373,0.641509433962264,0.150943396226415,0.0170850063218072,1.55107664121693,0.0251572327044025,0.182389937106918
climate,DD_0,alpine_vegetation,alpine vegetation,Growing season and degree-days,Annual,3,0.0319580921729044,0.0278239310990023,0.0450768235383626,2,0,1,0.0160641541099226,0.666666666666667,0,0.333333333333333,11,within-category pattern,FALSE,0.0151715619125172,0.320754716981132,0.0377358490566038,0.0167865302603872,2.10644707230424,0.345911949685535,-0.0377358490566038
climate,RH_at,alpine_vegetation,alpine vegetation,Humidity,Autumn,3,0.023957543955257,0.00399069925612565,0.0231953821038825,3,0,0,0.00230403128977898,1,0,0,16,within-category pattern,FALSE,0.0116217138810712,0.377358490566038,0.0188679245283019,0.0123358300741858,2.06144671951335,0.622641509433962,-0.0188679245283019
climate,DD5_at,alpine_vegetation,alpine vegetation,Growing season and degree-days,Autumn,3,0.0203686496894793,0.0352795361437501,0,1,1,1,0.0203686496894793,0.333333333333333,0.333333333333333,0.333333333333333,18,within-category pattern,FALSE,0.0082322257100553,0.169811320754717,0.0377358490566038,0.012136423979424,2.47425792329769,0.163522012578616,0.29559748427673
climate,Tmax_sp,alpine_vegetation,alpine vegetation,Temperature,Spring,3,0.0161680528888987,0.0280038890630334,0,1,0,1,0.0161680528888987,0.333333333333333,0,0.333333333333333,26,within-category pattern,FALSE,0.00526973100734599,0.132075471698113,0.0188679245283019,0.0108983218815527,3.06809832728853,0.20125786163522,-0.0188679245283019
climate,DD_0_at,alpine_vegetation,alpine vegetation,Growing season and degree-days,Autumn,3,0.0183078527367407,0.0317101311175238,0,1,0,1,0.0183078527367407,0.333333333333333,0,0.333333333333333,21,within-category pattern,FALSE,0.00812992839933317,0.150943396226415,0.0566037735849057,0.0101779243374075,2.25190823799166,0.182389937106918,-0.0566037735849057
climate,DD_0_sp,alpine_vegetation,alpine vegetation,Growing season and degree-days,Spring,3,0.0166902087359631,0.028908289519618,0,1,0,1,0.0166902087359631,0.333333333333333,0,0.333333333333333,25,within-category pattern,FALSE,0.00660189268751945,0.150943396226415,0,0.0100883160484437,2.52809452166878,0.182389937106918,0
climate,RH,alpine_vegetation,alpine vegetation,Humidity,Annual,3,0.0105443662163482,0.0182633780203279,0,1,0,0,0.0105443662163482,0.333333333333333,0,0,31,within-category pattern,FALSE,0.00247790245798316,0.0754716981132076,0,0.00806646375836506,4.25535968228976,0.257861635220126,0
climate,NFFD_sm,alpine_vegetation,alpine vegetation,Growing season and degree-days,Summer,3,0.0077823024877497,0.0134793433086522,0,1,0,0,0.0077823024877497,0.333333333333333,0,0,34,within-category pattern,FALSE,0.000440507687985832,0.0188679245283019,0,0.00734179479976387,17.6666666666667,0.314465408805031,0
climate,RH_sp,alpine_vegetation,alpine vegetation,Humidity,Spring,3,0.0119225839579153,0.0103654782886172,0.0169716621589461,2,0,0,0.00598451168021233,0.666666666666667,0,0,30,within-category pattern,FALSE,0.00714532203098062,0.226415094339623,0.0188679245283019,0.00477726192693466,1.66858595123095,0.440251572327044,-0.0188679245283019
