method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
plain_rf,1,15263,43057,11591,12347097,31466,3672,0.997164878706543,0.75941820087794,0.997458024812735,0.269201291311517,0.397496570644719,0.756876225690675
plain_rf,2,284043,256789,181048,12034042,75741,102995,0.985578626002979,0.637396450537419,0.99374547008811,0.705045776882966,0.669516596651086,0.631141920625528
plain_rf,3,552373,459849,289763,11671367,170086,262610,0.965087778382559,0.524578500397376,0.985636391074643,0.630126411061022,0.572528555988706,0.510214891472019
plain_rf,4,91405,105392,42692,12239721,62700,48713,0.991010604796291,0.467064164980034,0.994903442176138,0.405078184302414,0.433868402465485,0.461967607156172
plain_rf,5,190463,174488,73005,12101880,101483,117458,0.982334672118198,0.383302793718465,0.991684013660825,0.418395534363395,0.400081106778718,0.374986807379289
plain_rf,6,90294,107954,52219,12247797,55735,38075,0.992430908744402,0.578321926152347,0.995469999996749,0.483715286140393,0.526804810136798,0.573791926149096
plain_rf,7,220966,254210,88973,12007623,165237,131993,0.976017897943702,0.402654707059005,0.986425786544822,0.349998033122222,0.374484401569103,0.389080493603826
plain_rf,9,30500,72233,25365,12316458,46868,5135,0.995804120535499,0.831639344262295,0.996209110719882,0.351155289133775,0.493804327723322,0.827848454982178
plain_rf,10,146264,161080,76932,12163414,84148,69332,0.987616414818152,0.525980418968441,0.993129408122204,0.477601191954308,0.500624707168515,0.519109827090645
plain_rf,11,147057,186515,89346,12149600,97169,57711,0.987503455349462,0.607560333748138,0.992065744034202,0.479028496367584,0.535692444209946,0.59962607778234
plain_rf,12,374213,348852,236715,11907476,112137,137498,0.979858116452498,0.632567548428302,0.990670498293082,0.678554229300678,0.654754413503627,0.623238046721383
plain_rf,13,618971,530722,374291,11618424,156431,244680,0.967636224681547,0.60469876617806,0.986714825787664,0.705248698942196,0.651114688877814,0.591413591965724
plain_rf,14,32665,88596,26671,12299236,61925,5994,0.99451993274716,0.816500841879688,0.994990357297345,0.301040679037428,0.439894112699054,0.811491199177032
plain_rf,15,235591,255344,134831,12037722,120513,100760,0.982146513917494,0.572309638313858,0.990087952733271,0.528036687762391,0.549282491572204,0.562397591047128
plain_rf,16,911178,711547,545670,11316771,165877,365508,0.957125023378576,0.598862132316627,0.985554116088902,0.766878365027187,0.672535395707837,0.58441624840553
plain_rf,17,1641,7228,1509,12386466,5719,132,0.999527910106209,0.919561243144424,0.999538499465591,0.208771444382955,0.340286390799414,0.919099742610015
plain_rf,18,112964,162922,45866,12163806,117056,67098,0.985141472859148,0.406023157820191,0.99046842151634,0.281521218742711,0.332499655654872,0.39649157933653
plain_rf,19,691356,582291,532779,11652958,49512,158577,0.983210269371218,0.770629024699287,0.99576909831856,0.914970349876608,0.836619565703841,0.766398123017847
