method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,single RF,corrected,37,191906,195561,140235,12146594,55326,51671,0.991366911234674,0.86310709138909,0.730748387231249,0.99546579554693,0.71709083099391,0.723855192829325,0.726214182778179
rf_var,single RF,corrected,38,30032,54623,27834,12337005,26789,2198,0.997661174200767,0.962322335722473,0.926811401172083,0.997833270272863,0.509565567618036,0.657586675329278,0.924644671444946
rf_var,single RF,corrected,39,21943,70566,13633,12314950,56933,8310,0.994735846703028,0.808344861244047,0.621291528049948,0.995398194438147,0.193195023098943,0.294738890270136,0.616689722488094
rf_var,single RF,corrected,40,339661,332488,131396,11853073,201092,208265,0.966970893410961,0.685081081823696,0.386844530281663,0.983317633365729,0.395190202353168,0.390972834892263,0.370162163647392
rf_var,single RF,corrected,41,91243,147355,47693,12202921,99662,43550,0.988444891835661,0.75730110551732,0.522703111471565,0.991899099563076,0.323660547657019,0.399777030821717,0.51460221103464
rf_var,single RF,corrected,42,155019,254706,119305,12103406,135401,35714,0.986193528939328,0.879276042983334,0.769615337474761,0.988936748491908,0.468402785957143,0.582366221245958,0.758552085966669
rf_var,single RF,corrected,43,5692,23728,4937,12369343,18791,755,0.998422924446414,0.932920420126296,0.867357695010541,0.998483145242052,0.208066419420094,0.335622025832767,0.865840840252593
rf_var,single RF,corrected,44,566191,359007,194643,11663271,164364,371548,0.956759760868032,0.66493980473261,0.343776216859682,0.986103392605538,0.542170486926439,0.420759664417779,0.329879609465219
rf_var,single RF,corrected,45,16405,61171,11565,12327815,49606,4840,0.995607006262634,0.850480107986485,0.704967997561719,0.995992218411251,0.189060175573393,0.298159224502423,0.70096021597297
rf_var,single RF,corrected,46,136482,175042,66031,12148333,109011,70451,0.98552004844993,0.737456931568229,0.483807388520098,0.991106474616361,0.377229464928417,0.42392239442226,0.474913863136458
rf_var,single RF,corrected,47,354447,355647,202162,11885894,153485,152285,0.975328845184691,0.778805157981786,0.570358897098861,0.987251418864711,0.568434430769836,0.569395037840061,0.557610315963572
rf_var,single RF,corrected,48,1624,10260,1486,12383428,8774,138,0.999280932296451,0.957158302319888,0.915024630541872,0.999291974097904,0.144834307992203,0.250084146751935,0.914316604639776
rf_var,single RF,corrected,49,157753,197278,70044,12108839,127234,87709,0.982657252086644,0.716806151369541,0.444010573491471,0.989601729247611,0.355052261275966,0.394579628257814,0.433612302739081
rf_var,single RF,corrected,50,2292,16935,1970,12376569,14965,322,0.998766563287237,0.929151832216238,0.859511343804538,0.998792320627939,0.116327133156185,0.204920164352213,0.858303664432476
rf_var,single RF,corrected,52,23635,48158,20484,12342517,27674,3151,0.997512874555444,0.93222180892262,0.866680770044426,0.997762847800814,0.425349889945596,0.570640591701141,0.86444361784524
rf_var,single RF,corrected,53,64489,96773,49866,12282430,46907,14623,0.995035431351061,0.884721823907677,0.773248150847431,0.996195496967923,0.515288355223048,0.618446999293076,0.769443647815354
