method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone10,10,152765.772015656,152765.772015657,6.28692142487113e-15
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone18,18,168641.270446478,168641.270446445,1.94323210490098e-13
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone21,21,928888.390099548,928888.390098114,1.54340898603251e-12
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone28,28,51602.9379170373,51602.9379170377,7.19094402958087e-15
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone30,30,161423.023683792,161423.023683891,6.1408617106413e-13
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone39,39,52402.8338958159,52402.8338958181,4.13762998645707e-14
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone40,40,243434.193287838,243434.193288014,7.23906904922873e-13
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone44,44,234330.152966844,234330.152966986,6.07090131044966e-13
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone45,45,92701.2603325578,92701.2603325545,3.54766788478709e-14
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone46,46,192696.886541336,192696.886541348,6.0866804257094e-14
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone47,47,174898.021112777,174898.021112818,2.33964829114745e-13
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone49,49,135727.053176907,135727.05317692,9.39199477309291e-14
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone5,5,136930.790344893,136930.790344891,1.10522927673047e-14
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone50,50,15913.7564972078,15913.7564972078,3.08617980326363e-15
mf_var,2041-2070SSP245,pinuYun,pinuYun-Zone7,7,164370.193234042,164370.193234076,2.09465175850254e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone10,10,152765.772015656,152765.772015657,6.28692142487113e-15
mf_var,2041-2070SSP245,querVar,querVar-Zone21,21,928888.390099548,928888.390098114,1.54340898603251e-12
mf_var,2041-2070SSP245,querVar,querVar-Zone26,26,13817.9201640729,13817.9201640728,9.74135139471806e-15
mf_var,2041-2070SSP245,querVar,querVar-Zone27,27,670476.114148739,670476.114147545,1.781278648742e-12
mf_var,2041-2070SSP245,querVar,querVar-Zone28,28,51602.9379170373,51602.9379170377,7.19094402958087e-15
mf_var,2041-2070SSP245,querVar,querVar-Zone3,3,265453.674592307,265453.674592306,2.41203769746836e-15
mf_var,2041-2070SSP245,querVar,querVar-Zone30,30,161423.023683792,161423.023683891,6.1408617106413e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone33,33,343699.085570978,343699.085570907,2.05090674736947e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone36,36,47991.298360782,47991.2983607813,1.45545537382756e-14
mf_var,2041-2070SSP245,querVar,querVar-Zone37,37,41265.418643276,41265.4186432727,8.09313137903822e-14
mf_var,2041-2070SSP245,querVar,querVar-Zone40,40,243434.193287838,243434.193288014,7.23906904922873e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone41,41,65592.8875316037,65592.8875315998,5.92344919119798e-14
mf_var,2041-2070SSP245,querVar,querVar-Zone44,44,234330.152966844,234330.152966986,6.07090131044966e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone47,47,174898.021112777,174898.021112818,2.33964829114745e-13
mf_var,2041-2070SSP245,querVar,querVar-Zone49,49,135727.053176907,135727.05317692,9.39199477309291e-14
mf_var,2041-2070SSP245,querVar,querVar-Zone5,5,136930.790344893,136930.790344891,1.10522927673047e-14
mf_var,2041-2070SSP245,querVar,querVar-Zone7,7,164370.193234042,164370.193234076,2.09465175850254e-13
